Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Asus,Х53,AMD E1,4,1.5 - 1.9 ГГц,До 2,15.6,HD (1366x768),TN+film,AMD Radeon 610 / 625 / 630,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Коричневый,До 3500 мАч,Самовывоз,"Asus Х53, AMD E1, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-h53-amd-e1-4-gb-ozu-156-id-98516946,8 500 KGS
Б/у,Lenovo,U310,Intel Core i5,4,1.5 - 1.9 ГГц,4,13.3,HD (1366x768),IPS,Другая видеокарта,Ультрабук,"Для работы, учебы",SSD,128 ГБ,Windows,Фиолетовый,5000 - 6000 мАч,Самовывоз,"Lenovo U310, Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/lenovo-u310-intel-core-i5-4-gb-ozu-133-id-94459549,14 900 KGS
Б/у,HP,Probook G4,Intel Core i5,16,2.5 - 2.9 ГГц,4,15.6,Full HD (1920x1080),IPS,Другая видеокарта,Ноутбук,Игровой,HDD + SSD,1 ТБ,Windows,Серебристый,4000 - 5000 мАч,Бесплатная доставка,"HP Probook G4, Intel Core i5, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-probook-g4-intel-core-i5-16-gb-ozu-156-id-98360977,42 000 KGS
Б/у,Apple,,Intel Core i5,,,2,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Macbook pro 13"" 512gb i5 8gb mid 2014 macbook pro 13 (mid 2014)",https://lalafo.kg/bishkek/ads/macbook-pro-13-512gb-i5-8gb-mid-2014-macbook-pro-13-mid-2014-id-97843802,450 USD
Б/у,HP,HP,Intel Celeron,4,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,"HP HP, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-hp-intel-celeron-4-gb-ozu-156-id-97253748,16 000 KGS
Б/у,HP,,AMD Ryzen 7,16,Более 3 ГГц,4,14.3,Full HD (1920x1080),IPS,,Ультрабук,,SSD,256 ГБ,Windows,,,,Ультрабук для программирования -HP -модель-ELITEBOOK 745 G6,https://lalafo.kg/osh/ads/ultrabuk-dla-programmirovania-hp-model-elitebook-745-g6-id-89176390,57 000 KGS
Б/у,HP,,Intel Core i7,8,2.5 - 2.9 ГГц,4,15.6,HD (1366x768),TN+film,,Ультрабук,Игровой,SSD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"HP Intel Core i7, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-intel-core-i7-8-gb-ozu-156-id-74310421,48 000 KGS
Б/у,Apple,PR A1278,Intel Core i7,16,2.5 - 2.9 ГГц,,13.3,,TN+film,,Ноутбук,Игровой,SSD,256 ГБ,Mac OS,Черный,5000 - 6000 мАч,Самовывоз,"Apple PR A1278, Intel Core i7, 16 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-pr-a1278-intel-core-i7-16-gb-ozu-133-id-95353995,34 000 KGS
,Dell,,Intel Core i5,16,2.0 - 2.4 ГГц,,14.3,Full HD (1920x1080),IPS,,Ультрабук,,SSD,256 ГБ,Windows,Черный,,,"Dell Intel Core i5, 16 ГБ ОЗУ, 14.3 """,https://lalafo.kg/osh/ads/dell-intel-core-i5-16-gb-ozu-143-id-87819548,45 000 KGS
Б/у,Lenovo,,Intel Core i3,4,,,15.6,,,,Ноутбук,,HDD,,Windows,,,Самовывоз,Продаю ноутбук Lenovo (сост отл) -процессор-Intel Core i3-4030U @,https://lalafo.kg/bishkek/ads/prodau-noutbuk-lenovo-sost-otl-processor-intel-core-i3-4030u-id-96080711,16 999 KGS
Б/у,Lenovo,,Intel Celeron,2,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Lenovo Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-celeron-2-gb-ozu-156-id-75650570,14 800 KGS
Б/у,Dell,,,,,,,,,,,,,,,Серебристый,,Бесплатная доставка,Dell,https://lalafo.kg/ges-2/ads/dell-id-94509786,Договорная
Б/у,Apple,,Intel Core i7,8,,4,,,,,Ноутбук,,,,,Серебристый,,,"Apple Intel Core i7, 8 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/apple-intel-core-i7-8-gb-ozu-id-89621930,40 000 KGS
Б/у,Lenovo,THINKPAD,Intel Core i5,8,2.5 - 2.9 ГГц,4,13.3,Full HD (1920x1080),,,Ультрабук,"Для работы, учебы",SSD,256 ГБ,Windows,Серебристый,,Самовывоз,"Lenovo THINKPAD, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/osh/ads/lenovo-thinkpad-intel-core-i5-8-gb-ozu-133-id-98832579,32 999 KGS
,Asus,,Intel Celeron,4,2.0 - 2.4 ГГц,,15.6,,,,,,HDD,,Windows,,,Самовывоз,Продаю ноутбук ASUS (сост отл) -процессор-Celeron N2830 @ 2.16ghz -,https://lalafo.kg/bishkek/ads/prodau-noutbuk-asus-sost-otl-processor-celeron-n2830-216ghz-id-96249702,13 499 KGS
Б/у,Fujitsu,i5,Intel Core i5,4,2.5 - 2.9 ГГц,4,15.6,HD (1366x768),AMOLED,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Fujitsu i5, Intel Core i5, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/aravan/ads/fujitsu-i5-intel-core-i5-4-gb-ozu-156-id-74512980,14 000 KGS
Б/у,Toshiba,SATELLITE,Другой процессор,2,1.5 - 1.9 ГГц,До 2,13.5,Другое разрешение экрана,Другой тип матрицы,Другая видеокарта,Нетбук,"Для работы, учебы",Другой тип накопителя,до 128 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Toshiba SATELLITE, Другой процессор, 2 ГБ ОЗУ, 13.5 """,https://lalafo.kg/bishkek/ads/toshiba-satellite-drugoj-processor-2-gb-ozu-135-id-98276177,3 000 KGS
Б/у,MSI,MSI GS63VR,Intel Core i7,16,,8,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1070 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,,Самовывоз,"MSI MSI GS63VR, Intel Core i7, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-msi-gs63vr-intel-core-i7-16-gb-ozu-156-id-38701382,75 000 KGS
Б/у,Acer,,Intel Core i7,12,2.5 - 2.9 ГГц,,15.6,,,NVIDIA GeForce GTX 1050,Ноутбук,Игровой,HDD + SSD,,Windows,Черный,,Самовывоз,"Acer Intel Core i7, 12 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-intel-core-i7-12-gb-ozu-156-id-96250825,60 000 KGS
,Apple,,Intel Core i7,16,2.5 - 2.9 ГГц,,15.4,2K (2880х1800),,,,,SSD,512 ГБ,Mac OS,Серебристый,,,"Apple Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/osh/ads/apple-intel-core-i7-16-gb-ozu-154-id-87615604,69 000 KGS
,Lenovo,,Intel Core i5,8,2.0 - 2.4 ГГц,,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,256 ГБ,Windows,Черный,,,"Lenovo Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/osh/ads/lenovo-intel-core-i5-8-gb-ozu-156-id-87615544,41 000 KGS
Б/у,Lenovo,,Intel Core i7,16,2.0 - 2.4 ГГц,,13.3,Full HD (1920x1080),IPS,,Ультрабук,"Для работы, учебы",SSD,512 ГБ,Windows,Черный,,,"Lenovo Intel Core i7, 16 ГБ ОЗУ, 13.3 """,https://lalafo.kg/osh/ads/lenovo-intel-core-i7-16-gb-ozu-133-id-86405175,65 000 KGS
,Lenovo,,Intel Core i5,8,2.5 - 2.9 ГГц,,13.3,Full HD (1920x1080),IPS,,Ультрабук,"Для работы, учебы",SSD,256 ГБ,Windows,Черный,,,"Lenovo Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/osh/ads/lenovo-intel-core-i5-8-gb-ozu-133-id-86957054,46 000 KGS
Новый,Haier,A1400ED,Intel Celeron,4,До 1.4 ГГц,2,14.1,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD + SSD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Haier A1400ED, Intel Celeron, 4 ГБ ОЗУ, 14.1 """,https://lalafo.kg/bishkek/ads/haier-a1400ed-intel-celeron-4-gb-ozu-141-id-99537440,20 999 KGS
Б/у,HP,,AMD A8,4,1.5 - 1.9 ГГц,,14.3,HD (1366x768),,,Ультрабук,"Для работы, учебы",HDD,512 ГБ,Windows,Серебристый,,,"HP AMD A8, 4 ГБ ОЗУ, 14.3 """,https://lalafo.kg/osh/ads/hp-amd-a8-4-gb-ozu-143-id-86404138,19 500 KGS
Б/у,Dell,Inspirion,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Dell Inspirion, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/dell-inspirion-intel-core-i3-4-gb-ozu-156-id-94361329,19 000 KGS
,Другой бренд ноутбука,,,,,,,,,,,Игровой,,,,,,Бесплатная доставка,"Скупка ноутбуков, компьютеров, и комплектующих: #Видеокарты #Ssd",https://lalafo.kg/kant/ads/skupka-noutbukov-komputerov-i-komplektuusih-videokarty-ssd-id-41445571,Договорная
Б/у,Toshiba,,Intel Celeron,4,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),AMOLED,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,6000 - 7000 мАч,,"Toshiba Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/toshiba-intel-celeron-4-gb-ozu-156-id-95082544,11 000 KGS
Б/у,Apple,Air,Apple M1,8,Более 3 ГГц,8,13.1,Другое разрешение экрана,Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,256 ГБ,Mac OS,Серебристый,До 3500 мАч,Самовывоз,"Apple Air, Apple M1, 8 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-air-apple-m1-8-gb-ozu-131-id-70541560,1 000 USD
Б/у,Lenovo,,Intel Celeron,2,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Lenovo Intel Celeron, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-celeron-2-gb-ozu-156-id-75650570,14 800 KGS
Б/у,Lenovo,,Intel Celeron,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),AMOLED,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,4000 - 5000 мАч,,"Lenovo Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-celeron-4-gb-ozu-156-id-95041067,12 000 KGS
Б/у,Xiaomi,Mi pro,Intel Core i5,8,Более 3 ГГц,4,15.6,Full HD (1920x1080),Другой тип матрицы,NVIDIA GeForce MX2xx,Ноутбук,Игровой,SSD,256 ГБ,Linux,Серый,Более 7000 мАч,Самовывоз,"Xiaomi Mi pro, Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/xiaomi-mi-pro-intel-core-i5-8-gb-ozu-156-id-94494596,49 000 KGS
Б/у,Fujitsu,lifebook ,Intel Core i3,4,2.5 - 2.9 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,4000 - 5000 мАч,Бесплатная доставка,"Fujitsu lifebook Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/fujitsu-lifebook-intel-core-i3-4-gb-ozu-156-id-97715523,9 500 KGS
Новый,Dell,inspiron,Другой процессор,,,2,,HD (1366x768),,,Ноутбук,"Для работы, учебы",,,Windows,Черный,,Самовывоз,"Dell inspiron, Другой процессор",https://lalafo.kg/kok-oi/ads/dell-inspiron-drugoj-processor-id-63477081,29 000 KGS
Б/у,HP,,AMD A9,8,Более 3 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"HP AMD A9, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/osh/ads/hp-amd-a9-8-gb-ozu-156-id-98929391,22 000 KGS
Б/у,Acer,Е5-575G,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer Е5-575G, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-e5-575g-intel-core-i3-4-gb-ozu-156-id-97617777,24 000 KGS
Б/у,,,,,,,,,,,Ноутбук,,,,,,,,Вам срочно сейчас понадобились деньги?,https://lalafo.kg/bishkek/ads/vam-srocno-sejcas-ponadobilis-dengi-id-47734868,500 KGS
Б/у,Acer,,AMD E,4,,,,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,"Продается компьютер Acer,в комплекте сумка,мышка и наушники",https://lalafo.kg/bishkek/ads/prodaetsa-komputer-acerv-komplekte-sumkamyska-i-nausniki-id-84480866,13 500 KGS
Б/у,Acer,ES1-533,Intel Celeron,4,До 1.4 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,до 128 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Acer ES1-533, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-es1-533-intel-celeron-4-gb-ozu-156-id-73851161,16 000 KGS
,Lenovo,,Другой процессор,8,,4,14.3,Full HD (1920x1080),TN+film,,Ультрабук,,SSD,128 ГБ,,,,,Акция!Акция!Акция! Ультрабук для универсальных задач -LENOVO,https://lalafo.kg/osh/ads/akciaakciaakcia-ultrabuk-dla-universalnyh-zadac-lenovo-id-85246676,25 000 KGS
Б/у,Другой бренд ноутбука,,Intel Atom,2,До 1.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD + SSD,512 ГБ,Windows,Белый,4000 - 5000 мАч,Самовывоз,"Intel Atom, 2 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/intel-atom-2-gb-ozu-15-id-69330093,12 000 KGS
Б/у,Acer,,Intel Pentium,6,1.5 - 1.9 ГГц,2,15.6,,,,Ноутбук,"Для работы, учебы",HDD + SSD,,Windows,,,Самовывоз,Продаю Ноутбук Acer (сост отл ) -процессор-Pentium 3558U @1.70GHz,https://lalafo.kg/bishkek/ads/prodau-noutbuk-acer-sost-otl-processor-pentium-3558u-170ghz-id-96290175,17 498 KGS
Б/у,Acer,,Intel Pentium,4,,2,15.6,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Acer Intel Pentium, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-intel-pentium-4-gb-ozu-156-id-97035870,13 500 KGS
Б/у,Lenovo,,Intel Celeron,4,,2,15.6,,,,Ультрабук,"Для работы, учебы",SSD,128 ГБ,Windows,Серый,,Самовывоз,"Lenovo Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-celeron-4-gb-ozu-156-id-97160756,18 500 KGS
Новый,HP,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,,,AMD Radeon 530 / 535,Ноутбук,"Для работы, учебы",SSD,256 ГБ,Windows,,,Самовывоз,Продаю Ноутбук hp i3 (сост отл) -процессор-i3-5005U @2.00ghz,https://lalafo.kg/bishkek/ads/prodau-noutbuk-hp-i3-sost-otl-processor-i3-5005u-200ghz-id-95107945,23 500 KGS
Б/у,Asus,,,,,,,,,,,,,,,,,,Ноутбуки и нетбуки,https://lalafo.kg/bishkek/ads/noutbuki-i-netbuki-id-97283189,Договорная
Б/у,Lenovo,G580,Intel Core i5,8,2.5 - 2.9 ГГц,4,15.6,Full HD (1920x1080),IPS,Другая видеокарта,Ноутбук,Игровой,HDD + SSD,1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Lenovo G580, Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/orto-saiy/ads/lenovo-g580-intel-core-i5-8-gb-ozu-156-id-85548287,25 000 KGS
Б/у,Lenovo,,AMD E1,4,До 1.4 ГГц,2,15.6,HD (1366x768),TN+film,AMD Radeon Pro,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Linux,Черный,3500 - 4000 мАч,Самовывоз,"Lenovo AMD E1, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-amd-e1-4-gb-ozu-156-id-93534803,12 000 KGS
Новый,MSI,GF66 A11,Intel Core i7,8,Более 3 ГГц,8,15.6,Full HD (1920x1080),Другой тип матрицы,NVIDIA GeForce RTX 3060,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,Более 7000 мАч,Бесплатная доставка,"MSI GF66 A11, Intel Core i7, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf66-a11-intel-core-i7-8-gb-ozu-156-id-99287820,1 500 USD
Б/у,Dell,,Intel Core i7,8,2.0 - 2.4 ГГц,4,14,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Черный,,,"Dell Intel Core i7, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i7-8-gb-ozu-14-id-93300152,24 000 KGS
,Toshiba,,Intel Core i3,4,1.5 - 1.9 ГГц,4,15.6,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,,,Самовывоз,Продаю ноутбук TOSHIBA i3 (сост отл) -процессор-i3-3217U @1.80ghz -,https://lalafo.kg/bishkek/ads/prodau-noutbuk-toshiba-i3-sost-otl-processor-i3-3217u-180ghz-id-98096461,15 000 KGS
Б/у,Dell,,Intel Core i5,8,2.5 - 2.9 ГГц,4,14,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Dell Intel Core i5, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i5-8-gb-ozu-14-id-99354671,23 000 KGS
,Dell,,Intel Core i7,6,2.0 - 2.4 ГГц,8,,,,,Ноутбук,"Для работы, учебы",HDD,,Windows,,,Самовывоз,"Notebook dell Inspiron 5110. Есть недочёты на фото видно. Cpu i7, ОЗУ",https://lalafo.kg/bishkek/ads/notebook-dell-inspiron-5110-est-nedocety-na-foto-vidno-cpu-i7-ozu-id-92354284,15 000 KGS
Б/у,Acer,,,,,,,,,,,"Для работы, учебы",,,,,,,"Срочно куплю ноутбуки Офисные игровые ноутбуки Рабочии, глюченные",https://lalafo.kg/bishkek/ads/srocno-kuplu-noutbuki-ofisnye-igrovye-noutbuki-rabocii-glucennye-id-98078421,Договорная
Б/у,Lenovo,,Intel Celeron,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),AMOLED,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,,"Lenovo Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-celeron-4-gb-ozu-156-id-96433476,12 500 KGS
Б/у,Dell,,Intel Core i7,8,2.0 - 2.4 ГГц,4,14,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Черный,,,"Dell Intel Core i7, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i7-8-gb-ozu-14-id-93300152,24 000 KGS
,Toshiba,,Intel Core i3,4,1.5 - 1.9 ГГц,4,15.6,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,,,Самовывоз,Продаю ноутбук TOSHIBA i3 (сост отл) -процессор-i3-3217U @1.80ghz -,https://lalafo.kg/bishkek/ads/prodau-noutbuk-toshiba-i3-sost-otl-processor-i3-3217u-180ghz-id-98096461,15 000 KGS
Б/у,Dell,,Intel Core i5,8,2.5 - 2.9 ГГц,4,14,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Dell Intel Core i5, 8 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i5-8-gb-ozu-14-id-99354671,23 000 KGS
,Dell,,Intel Core i7,6,2.0 - 2.4 ГГц,8,,,,,Ноутбук,"Для работы, учебы",HDD,,Windows,,,Самовывоз,"Notebook dell Inspiron 5110. Есть недочёты на фото видно. Cpu i7, ОЗУ",https://lalafo.kg/bishkek/ads/notebook-dell-inspiron-5110-est-nedocety-na-foto-vidno-cpu-i7-ozu-id-92354284,15 000 KGS
Б/у,Acer,,,,,,,,,,,"Для работы, учебы",,,,,,,"Срочно куплю ноутбуки Офисные игровые ноутбуки Рабочии, глюченные",https://lalafo.kg/bishkek/ads/srocno-kuplu-noutbuki-ofisnye-igrovye-noutbuki-rabocii-glucennye-id-98078421,Договорная
Б/у,,,,,,,,,,,,Игровой,,,,Черный,,,Алабыз ноутбук иштебеген бузулган сынган ноутбук алабыз запчасть,https://lalafo.kg/bishkek/ads/alabyz-noutbuk-istebegen-buzulgan-syngan-noutbuk-alabyz-zapcast-id-98038834,Договорная
,Acer,,,,,,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,Acer,https://lalafo.kg/bishkek/ads/acer-id-91801030,Договорная
Новый,Asus,X540M,,4,,,15.6,,,,Ноутбук,Игровой,HDD,128 ГБ,Windows,Черный,,,"Asus X540M, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-x540m-4-gb-ozu-156-id-97113315,30 000 KGS
Б/у,HP,,Intel Core i5,16,1.5 - 1.9 ГГц,8,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce MX1xx,Ультрабук,Игровой,SSD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"HP Intel Core i5, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-intel-core-i5-16-gb-ozu-156-id-56366450,48 000 KGS
